"Block #","Volume","Volume Uncertainty","Volume ± Uncertainty"
"A1","330.0","24.0","330.0 ± 24.0"
"A2","380.0","231.0","380.0 ± 231.0"
"A3","320.0","13.0","320.0 ± 13.0"
"A4","390.0","279.0","390.0 ± 279.0"
"A5","330.0","14.0","330.0 ± 14.0"
"A6","330.0","13.0","330.0 ± 13.0"
"A7","310.0","19.0","310.0 ± 19.0"
"A8","320.0","37.0","320.0 ± 37.0"
"A9","330.0","28.0","330.0 ± 28.0"
"B1","470.0","49.0","470.0 ± 49.0"
"B2","470.0","34.0","470.0 ± 34.0"
"B3","480.0","39.0","480.0 ± 39.0"
"B4","500.0","40.0","500.0 ± 40.0"
"B5","470.0","130.0","470.0 ± 130.0"
"B6","480.0","28.0","480.0 ± 28.0"
"B7","480.0","18.0","480.0 ± 18.0"
"B8","480.0","14.0","480.0 ± 14.0"
"C1","640.0","43.0","640.0 ± 43.0"
