"Description","Block #","Length","Width","Height","Mass(scale 1)","Mass(scale 2)"
"Averages","A1","10.2","8.7","3.7","181.8","181.7"
"Uncertainties","A1","0.15","0.15","0.15","0.52","0.5"
"Percent Uncertainties","A1","1.47%","1.72%","4.05%","0.29%","0.28%"
"Averages","A2","10.2","8.7","4.3","169.2","169.0"
"Uncertainties","A2","0.2","0.05","2.5","0.06","0.0"
"Percent Uncertainties","A2","1.96%","0.57%","58.14%","0.04%","0.0%"
"Averages","A3","9.9","8.7","3.7","168.5","168.0"
"Uncertainties","A3","0.1","0.1","0.07","0.06","0.0"
"Percent Uncertainties","A3","1.01%","1.15%","1.89%","0.04%","0.0%"
"Averages","A4","9.9","8.7","4.5","169.2","169.0"
"Uncertainties","A4","0.1","0.15","3.1","0.39","0.0"
"Percent Uncertainties","A4","1.01%","1.72%","68.89%","0.23%","0.0%"
"Averages","A5","10.2","8.7","3.7","175.3","175.0"
"Uncertainties","A5","0.1","0.05","0.1","0.32","0.0"
"Percent Uncertainties","A5","0.98%","0.57%","2.7%","0.18%","0.0%"
"Averages","A6","10.1","8.7","3.7","171.5","171.0"
"Uncertainties","A6","0.1","0.15","0.05","0.25","0.0"
"Percent Uncertainties","A6","0.99%","1.72%","1.35%","0.15%","0.0%"
"Averages","A7","9.6","8.7","3.7","164.2","164.0"
"Uncertainties","A7","0.1","0.1","0.15","0.05","0.0"
"Percent Uncertainties","A7","1.04%","1.15%","4.05%","0.03%","0.0%"
"Averages","A8","10.0","8.7","3.7","190.0","189.2"
"Uncertainties","A8","0.1","0.1","0.35","0.05","0.5"
"Percent Uncertainties","A8","1.0%","1.15%","9.46%","0.03%","0.26%"
"Averages","A9","10.1","8.7","3.7","173.4","173.0"
"Uncertainties","A9","0.2","0.1","0.2","0.05","0.0"
"Percent Uncertainties","A9","1.98%","1.15%","5.41%","0.03%","0.0%"
"Averages","B1","14.7","8.7","3.7","NaN","248.5"
"Uncertainties","B1","0.5","0.15","0.2","0.0","0.5"
"Percent Uncertainties","B1","3.4%","1.72%","5.41%","NaN%","0.2%"
"Averages","B2","14.9","8.7","3.6","NaN","249.0"
"Uncertainties","B2","0.1","0.2","0.15","0.0","0.0"
"Percent Uncertainties","B2","0.67%","2.3%","4.17%","NaN%","0.0%"
"Averages","B3","14.8","8.8","3.7","NaN","284.8"
"Uncertainties","B3","0.35","0.15","0.15","0.0","1.0"
"Percent Uncertainties","B3","2.36%","1.7%","4.05%","NaN%","0.35%"
"Averages","B4","15.2","8.7","3.8","NaN","267.0"
"Uncertainties","B4","0.35","0.15","0.15","0.0","0.0"
"Percent Uncertainties","B4","2.3%","1.72%","3.95%","NaN%","0.0%"
"Averages","B5","14.5","8.7","3.7","NaN","261.6"
"Uncertainties","B5","3.25","0.1","0.15","0.0","1.0"
"Percent Uncertainties","B5","22.41%","1.15%","4.05%","NaN%","0.38%"
"Averages","B6","14.9","8.7","3.7","NaN","260.1"
"Uncertainties","B6","0.1","0.1","0.15","0.0","0.5"
"Percent Uncertainties","B6","0.67%","1.15%","4.05%","NaN%","0.19%"
"Averages","B7","15.0","8.7","3.7","NaN","273.0"
"Uncertainties","B7","0.2","0.1","0.05","0.0","0.0"
"Percent Uncertainties","B7","1.33%","1.15%","1.35%","NaN%","0.0%"
"Averages","B8","14.9","8.7","3.7","NaN","276.0"
"Uncertainties","B8","0.05","0.1","0.05","0.0","0.0"
"Percent Uncertainties","B8","0.34%","1.15%","1.35%","NaN%","0.0%"
"Averages","C1","20.0","8.7","3.7","NaN","358.6"
"Uncertainties","C1","0.1","0.3","0.1","0.0","0.5"
"Percent Uncertainties","C1","0.5%","3.45%","2.7%","NaN%","0.14%"
